shipment_id,order_id,warehouse_id,carrier,shipment_date,delivery_date,shipping_status,shipping_cost
SHP00000188,ORD00000199,WH004,Delhivery,2026-02-04 11:20:18,,IN_TRANSIT,81.75
SHP00000189,ORD00000200,WH007,DTDC,2025-03-05 21:46:33,2025-03-12 21:46:33,DELAYED,990.05
SHP00000190,ORD00000201,WH007,DHL,2025-07-29 16:00:07,2025-08-06 16:00:07,DELIVERED,80.82
SHP00000191,ORD00000202,WH001,DTDC,2026-03-27 13:30:06,2026-04-06 13:30:06,DELIVERED,609.2
SHP00000192,ORD00000203,WH003,Ecom Express,2025-11-12 18:21:53,2025-11-15 18:21:53,DELIVERED,980.94
SHP00000193,ORD00000204,WH010,Delhivery,2026-02-04 09:10:52,2026-02-07 09:10:52,DELIVERED,471.48
SHP00000194,ORD00000205,WH009,FedEx,2025-12-27 07:07:50,2026-01-05 07:07:50,DELIVERED,475.17
SHP00000195,ORD00000206,WH006,DTDC,2025-07-04 11:30:57,2025-07-12 11:30:57,DELIVERED,1141.31
SHP00000196,ORD00000207,WH008,Ecom Express,2026-07-04 18:57:35,2026-07-06 18:57:35,DELIVERED,1453.93
SHP00000197,ORD00000208,WH010,Ecom Express,2026-07-26 09:44:11,2026-08-01 09:44:11,DELIVERED,667.0
SHP00000198,ORD00000209,WH002,DHL,2025-05-10 12:46:04,2025-05-16 12:46:04,DELIVERED,453.42
SHP00000199,ORD00000210,WH002,DHL,2026-06-13 18:56:39,,IN_TRANSIT,899.29
SHP00000200,ORD00000211,WH002,Delhivery,2025-01-27 15:26:19,2025-02-01 15:26:19,DELIVERED,1372.79
SHP00000201,ORD00000212,WH008,DTDC,2025-12-12 00:31:19,,IN_TRANSIT,884.1
SHP00000202,ORD00000213,WH009,FedEx,2026-03-21 06:28:33,,CANCELLED,511.32
SHP00000203,ORD00000214,WH005,DTDC,2025-06-01 09:15:41,2025-06-06 09:15:41,DELIVERED,816.55
SHP00000204,ORD00000215,WH007,DHL,2025-07-25 16:45:59,,IN_TRANSIT,215.02
SHP00000205,ORD00000216,WH009,DTDC,2026-02-09 20:59:34,,IN_TRANSIT,196.29
SHP00000206,ORD00000217,WH004,DTDC,2026-01-12 12:30:32,2026-01-15 12:30:32,DELIVERED,1097.77
SHP00000207,ORD00000218,WH003,Delhivery,2025-08-30 18:57:08,2025-09-06 18:57:08,DELIVERED,997.18
SHP00000208,ORD00000219,WH009,Delhivery,2025-01-05 09:19:46,,IN_TRANSIT,380.92
SHP00000209,ORD00000220,WH005,Delhivery,2026-01-28 10:55:47,,CANCELLED,1479.72
SHP00000210,ORD00000221,WH010,XpressBees,2025-04-09 06:23:04,2025-04-17 06:23:04,DELIVERED,1123.21
SHP00000211,ORD00000222,WH001,Delhivery,2026-05-03 17:18:17,2026-05-12 17:18:17,DELIVERED,82.58
SHP00000212,ORD00000223,WH001,FedEx,2025-03-05 03:51:40,2025-03-08 03:51:40,DELAYED,355.37
SHP00000213,ORD00000224,WH002,FedEx,2026-05-28 17:12:24,,IN_TRANSIT,683.8
SHP00000214,ORD00000225,WH004,DTDC,2026-03-27 18:29:06,2026-04-01 18:29:06,DELIVERED,643.74
SHP00000215,ORD00000226,WH001,DTDC,2026-04-05 09:53:37,2026-04-09 09:53:37,DELAYED,972.49
SHP00000216,ORD00000227,WH009,FedEx,2025-11-27 08:09:58,2025-12-06 08:09:58,DELAYED,1218.36
SHP00000217,ORD00000229,WH004,FedEx,2025-01-18 11:34:18,,IN_TRANSIT,151.92
SHP00000218,ORD00000230,WH007,Ecom Express,2025-01-12 00:37:23,2025-01-22 00:37:23,DELIVERED,408.54
SHP00000219,ORD00000231,WH003,FedEx,2025-09-26 07:00:34,2025-10-04 07:00:34,DELIVERED,255.12
SHP00000220,ORD00000232,WH009,BlueDart,2025-12-06 16:35:37,2025-12-07 16:35:37,DELIVERED,1345.54
SHP00000221,ORD00000233,WH010,DTDC,2025-03-16 19:20:38,2025-03-26 19:20:38,DELIVERED,525.74
SHP00000222,ORD00000234,WH007,Delhivery,2025-06-27 02:30:04,,IN_TRANSIT,251.02
SHP00000223,ORD00000235,WH002,XpressBees,2025-02-18 16:48:47,,IN_TRANSIT,463.08
SHP00000224,ORD00000236,WH005,DTDC,2025-07-21 22:58:48,2025-07-31 22:58:48,DELIVERED,1380.06
SHP00000225,ORD00000237,WH001,XpressBees,2026-06-21 09:04:03,,IN_TRANSIT,456.62
SHP00000226,ORD00000238,WH002,XpressBees,2025-08-24 11:13:32,,IN_TRANSIT,1279.71
SHP00000227,ORD00000239,WH001,XpressBees,2025-06-01 01:17:24,2025-06-04 01:17:24,DELIVERED,697.72
SHP00000228,ORD00000240,WH010,Delhivery,2025-09-11 19:52:41,,IN_TRANSIT,477.59
SHP00000229,ORD00000241,WH004,XpressBees,2025-04-07 11:02:41,2025-04-13 11:02:41,DELIVERED,720.65
SHP00000230,ORD00000242,WH008,Ecom Express,2025-02-21 15:38:07,2025-02-26 15:38:07,DELIVERED,1365.86
SHP00000231,ORD00000243,WH002,BlueDart,2025-12-23 06:58:27,2026-01-01 06:58:27,DELIVERED,986.29
SHP00000232,ORD00000244,WH005,FedEx,2025-11-20 08:23:05,2025-11-29 08:23:05,DELIVERED,1228.89
SHP00000233,ORD00000245,WH007,FedEx,2026-02-14 01:26:02,2026-02-22 01:26:02,DELIVERED,1156.73
SHP00000234,ORD00000246,WH006,FedEx,2026-06-26 17:23:57,2026-07-03 17:23:57,DELIVERED,246.76
SHP00000235,ORD00000247,WH010,DTDC,2026-04-19 22:25:22,2026-04-27 22:25:22,DELIVERED,499.95
SHP00000236,ORD00000248,WH007,FedEx,2025-10-08 05:00:53,2025-10-16 05:00:53,DELIVERED,339.04
SHP00000237,ORD00000249,WH003,Delhivery,2026-04-20 22:41:54,2026-04-26 22:41:54,DELIVERED,205.02
SHP00000238,ORD00000250,WH002,Delhivery,2026-06-13 12:24:20,2026-06-22 12:24:20,DELIVERED,163.62
