inventory_id,warehouse_id,product_id,inventory_date,quantity_on_hand,reserved_quantity,reorder_level
INV00000131,WH001,PROD00089,2026-04-06,3586,259,133
INV00000132,WH001,PROD00205,2026-01-11,4567,324,116
INV00000133,WH001,PROD00055,2026-03-21,1242,118,147
INV00000134,WH001,PROD00200,2026-05-24,4862,231,30
INV00000135,WH001,PROD00025,2025-08-01,1728,27,77
INV00000136,WH001,PROD00287,2026-04-26,782,192,101
INV00000137,WH001,PROD00410,2025-08-13,890,112,77
INV00000138,WH001,PROD00343,2025-06-01,4134,467,167
INV00000139,WH001,PROD00176,2026-06-13,627,286,14
INV00000140,WH001,PROD00266,2025-09-07,549,427,151
INV00000141,WH001,PROD00101,2025-02-23,950,17,118
INV00000142,WH001,PROD00060,2025-03-09,4176,476,187
INV00000143,WH001,PROD00360,2025-12-25,1932,473,29
INV00000144,WH001,PROD00290,2025-09-16,3889,357,79
INV00000145,WH001,PROD00156,2025-04-25,2456,191,34
INV00000146,WH001,PROD00279,2025-04-09,1044,323,113
INV00000147,WH001,PROD00357,2026-01-12,4105,271,50
INV00000148,WH001,PROD00482,2025-01-02,4616,176,125
INV00000149,WH001,PROD00376,2026-06-15,3333,118,25
INV00000150,WH001,PROD00459,2025-08-07,2494,234,133
INV00000151,WH001,PROD00265,2025-06-12,463,479,58
INV00000152,WH001,PROD00368,2026-01-22,771,105,31
INV00000153,WH001,PROD00069,2025-10-04,4611,130,123
INV00000154,WH001,PROD00276,2026-02-08,4504,238,55
INV00000155,WH001,PROD00010,2026-06-26,1672,161,181
INV00000156,WH001,PROD00027,2025-03-30,408,455,147
INV00000157,WH001,PROD00102,2026-02-04,1882,495,107
INV00000158,WH001,PROD00397,2025-07-25,1935,393,154
INV00000159,WH001,PROD00297,2025-01-02,3249,18,176
INV00000160,WH001,PROD00385,2025-11-18,202,313,130
INV00000161,WH001,PROD00150,2025-07-02,2765,426,80
INV00000162,WH001,PROD00122,2025-07-14,688,239,102
INV00000163,WH001,PROD00334,2026-06-09,1957,377,154
INV00000164,WH001,PROD00167,2026-01-18,116,424,141
INV00000165,WH001,PROD00270,2025-09-15,788,8,137
INV00000166,WH001,PROD00327,2025-07-06,295,65,147
INV00000167,WH001,PROD00093,2025-02-02,2431,223,177
INV00000168,WH001,PROD00362,2025-08-28,3859,397,151
INV00000169,WH001,PROD00498,2026-07-06,1435,296,20
INV00000170,WH001,PROD00249,2026-01-14,1869,452,148
INV00000171,WH001,PROD00291,2025-08-04,3458,171,36
INV00000172,WH001,PROD00432,2026-07-24,4748,72,191
INV00000173,WH001,PROD00412,2026-08-08,4990,243,109
INV00000174,WH001,PROD00123,2025-06-20,1719,244,178
INV00000175,WH001,PROD00231,2026-06-29,1523,413,45
INV00000176,WH001,PROD00031,2025-12-09,324,456,158
INV00000177,WH001,PROD00088,2026-08-05,3640,139,82
INV00000178,WH001,PROD00255,2025-03-24,147,363,163
INV00000179,WH001,PROD00018,2025-09-17,4090,40,42
INV00000180,WH001,PROD00377,2025-08-11,4764,201,31
INV00000181,WH001,PROD00137,2026-08-14,1126,435,22
INV00000182,WH001,PROD00332,2026-03-10,1804,132,197
INV00000183,WH001,PROD00126,2026-07-16,2177,93,189
INV00000184,WH001,PROD00321,2026-06-16,4975,485,154
INV00000185,WH001,PROD00092,2025-07-11,3045,389,94
INV00000186,WH001,PROD00352,2025-03-01,129,138,26
INV00000187,WH001,PROD00034,2026-03-29,3750,356,28
INV00000188,WH001,PROD00247,2025-02-28,4524,500,141
INV00000189,WH001,PROD00305,2026-06-25,2603,464,183
INV00000190,WH001,PROD00066,2025-01-16,2155,150,23
INV00000191,WH001,PROD00083,2025-02-15,750,174,188
INV00000192,WH001,PROD00017,2025-08-06,351,441,38
INV00000193,WH001,PROD00163,2026-06-01,55,169,166
INV00000194,WH001,PROD00303,2026-03-13,197,366,187
INV00000195,WH001,PROD00289,2026-03-07,3,245,109
INV00000196,WH001,PROD00418,2025-04-07,4582,491,47
INV00000197,WH001,PROD00330,2026-07-07,4577,282,46
INV00000198,WH001,PROD00304,2026-03-12,1043,212,31
INV00000199,WH001,PROD00128,2026-02-06,4777,292,49
INV00000200,WH001,PROD00016,2025-02-28,3453,465,95
INV00000201,WH001,PROD00383,2025-11-15,2037,417,107
INV00000202,WH001,PROD00030,2025-10-03,2141,298,167
INV00000203,WH001,PROD00278,2025-03-04,2698,102,188
INV00000204,WH001,PROD00375,2025-07-19,2656,139,113
INV00000205,WH001,PROD00427,2025-03-08,2709,104,41
INV00000206,WH001,PROD00079,2026-01-28,3711,63,114
INV00000207,WH001,PROD00013,2025-02-03,3214,400,177
INV00000208,WH001,PROD00080,2026-07-08,4810,22,179
INV00000209,WH001,PROD00234,2026-06-12,545,366,111
INV00000210,WH001,PROD00462,2026-05-01,4723,131,84
INV00000211,WH001,PROD00061,2025-08-29,2942,137,200
INV00000212,WH001,PROD00108,2026-06-04,1714,48,96
INV00000213,WH001,PROD00444,2026-04-28,1336,455,127
INV00000214,WH001,PROD00263,2026-06-19,1869,317,33
INV00000215,WH001,PROD00367,2025-08-06,1574,256,33
INV00000216,WH001,PROD00190,2026-03-30,4410,219,16
INV00000217,WH001,PROD00070,2026-08-10,2725,345,35
INV00000218,WH001,PROD00007,2025-03-01,3738,175,140
INV00000219,WH001,PROD00496,2025-08-06,3971,217,172
INV00000220,WH001,PROD00118,2025-08-18,3186,174,42
INV00000221,WH001,PROD00392,2026-04-27,763,202,144
INV00000222,WH001,PROD00434,2025-01-27,392,367,162
INV00000223,WH001,PROD00098,2025-07-01,1676,393,56
INV00000224,WH001,PROD00146,2025-08-12,1735,174,140
INV00000225,WH001,PROD00196,2025-02-10,4514,422,32
INV00000226,WH001,PROD00394,2025-11-26,2665,350,176
INV00000227,WH001,PROD00424,2025-05-31,4625,94,142
INV00000228,WH001,PROD00466,2025-08-15,3166,249,50
INV00000229,WH001,PROD00105,2025-06-23,1988,475,184
INV00000230,WH001,PROD00393,2025-03-14,275,207,87
INV00000231,WH001,PROD00391,2025-01-25,1730,385,92
INV00000232,WH001,PROD00195,2025-04-28,2788,38,136
INV00000233,WH001,PROD00046,2026-03-13,4023,325,93
INV00000234,WH001,PROD00193,2025-10-28,2261,349,91
INV00000235,WH001,PROD00337,2026-01-27,4591,304,176
INV00000236,WH001,PROD00114,2025-11-28,3298,481,188
INV00000237,WH001,PROD00225,2025-02-26,3480,173,194
INV00000238,WH001,PROD00138,2025-05-30,4996,500,65
INV00000239,WH001,PROD00087,2025-06-17,449,269,44
INV00000240,WH001,PROD00074,2026-02-16,1018,34,28
INV00000241,WH001,PROD00226,2025-06-04,4322,213,86
INV00000242,WH001,PROD00284,2025-09-09,318,236,148
INV00000243,WH001,PROD00194,2026-07-21,943,91,189
INV00000244,WH001,PROD00320,2026-08-05,4861,92,139
INV00000245,WH001,PROD00261,2025-01-07,1268,368,67
INV00000246,WH001,PROD00197,2025-11-18,3177,468,114
INV00000247,WH001,PROD00311,2025-12-26,2469,101,128
INV00000248,WH001,PROD00446,2025-12-12,333,218,50
INV00000249,WH001,PROD00286,2026-05-24,771,284,162
INV00000250,WH001,PROD00253,2026-03-08,3983,353,68
INV00000251,WH001,PROD00480,2026-06-15,1008,182,193
INV00000252,WH001,PROD00275,2026-05-16,4016,119,194
INV00000253,WH001,PROD00348,2025-07-15,823,319,149
INV00000254,WH001,PROD00246,2025-09-29,2261,60,184
INV00000255,WH001,PROD00185,2026-07-10,4679,246,123
INV00000256,WH001,PROD00354,2025-02-01,476,35,137
INV00000257,WH001,PROD00262,2026-07-25,4498,480,44
INV00000258,WH001,PROD00072,2026-07-25,2516,318,190
INV00000259,WH001,PROD00104,2025-07-23,1614,161,165
INV00000260,WH001,PROD00464,2025-09-24,4041,321,197
INV00000261,WH001,PROD00437,2025-10-10,3879,209,117
INV00000262,WH001,PROD00467,2025-01-30,335,251,107
INV00000263,WH001,PROD00165,2026-05-24,561,247,117
INV00000264,WH001,PROD00154,2026-04-25,3789,35,73
INV00000265,WH001,PROD00358,2025-09-04,132,210,21
INV00000266,WH001,PROD00191,2025-11-08,4279,294,190
INV00000267,WH001,PROD00212,2025-10-17,2167,419,196
INV00000268,WH001,PROD00256,2025-04-13,2977,133,24
INV00000269,WH001,PROD00497,2025-04-24,250,178,85
INV00000270,WH001,PROD00029,2025-09-18,2914,419,151
INV00000271,WH001,PROD00028,2025-10-23,2178,458,179
INV00000272,WH001,PROD00224,2026-01-12,3954,13,106
INV00000273,WH001,PROD00281,2025-12-18,2403,428,68
INV00000274,WH001,PROD00448,2025-07-08,4181,126,145
INV00000275,WH001,PROD00271,2025-03-10,3992,304,197
INV00000276,WH001,PROD00461,2025-05-18,3877,412,75
INV00000277,WH001,PROD00139,2025-11-21,411,328,180
INV00000278,WH001,PROD00169,2025-10-27,4367,396,17
INV00000279,WH001,PROD00051,2025-03-05,2549,473,106
INV00000280,WH001,PROD00341,2025-05-19,1808,67,86
INV00000281,WH001,PROD00326,2025-06-01,4683,221,52
INV00000282,WH001,PROD00189,2026-04-23,577,164,29
INV00000283,WH001,PROD00153,2025-03-08,4730,354,25
INV00000284,WH001,PROD00413,2025-04-12,1908,428,192
INV00000285,WH001,PROD00008,2025-06-22,4454,196,155
INV00000286,WH001,PROD00213,2026-01-06,3059,350,151
INV00000287,WH001,PROD00162,2025-01-31,2358,385,187
INV00000288,WH001,PROD00285,2025-01-08,4010,159,98
INV00000289,WH001,PROD00351,2026-02-02,3091,152,62
INV00000290,WH001,PROD00175,2025-08-01,4030,173,139
INV00000291,WH001,PROD00440,2026-03-04,2773,66,56
INV00000292,WH001,PROD00486,2025-07-21,3541,306,44
INV00000293,WH001,PROD00149,2025-01-10,2539,91,154
INV00000294,WH001,PROD00209,2025-07-16,2865,439,137
INV00000295,WH001,PROD00310,2026-03-04,4087,28,97
INV00000296,WH001,PROD00232,2026-03-01,2753,426,61
INV00000297,WH001,PROD00106,2026-08-09,2284,287,43
INV00000298,WH001,PROD00465,2025-12-29,768,77,108
INV00000299,WH001,PROD00259,2025-05-11,4083,191,119
INV00000300,WH001,PROD00090,2026-02-08,1352,422,188
INV00000301,WH001,PROD00159,2026-03-17,4992,222,181
INV00000302,WH001,PROD00267,2026-05-05,55,31,141
INV00000303,WH001,PROD00173,2025-03-18,829,241,141
INV00000304,WH001,PROD00328,2025-10-16,58,396,183
INV00000305,WH001,PROD00347,2025-07-19,4534,244,145
INV00000306,WH001,PROD00181,2026-08-01,1933,272,22
INV00000307,WH001,PROD00065,2026-07-23,4086,368,173
INV00000308,WH001,PROD00014,2025-11-27,1047,164,37
INV00000309,WH001,PROD00077,2025-10-22,4683,282,157
INV00000310,WH001,PROD00170,2025-10-10,1471,291,130
INV00000311,WH001,PROD00292,2025-01-11,3678,441,13
INV00000312,WH001,PROD00499,2026-03-04,4904,343,129
INV00000313,WH001,PROD00379,2026-04-15,3756,11,120
INV00000314,WH001,PROD00048,2025-03-24,1849,361,27
INV00000315,WH001,PROD00116,2026-01-08,3005,92,185
INV00000316,WH001,PROD00309,2025-03-05,2332,237,131
INV00000317,WH001,PROD00244,2026-03-24,3412,394,73
INV00000318,WH001,PROD00452,2026-04-25,3860,381,67
INV00000319,WH001,PROD00371,2026-01-01,1090,469,159
INV00000320,WH001,PROD00449,2026-04-09,738,162,89
INV00000321,WH001,PROD00419,2025-05-03,1580,357,115
INV00000322,WH001,PROD00125,2026-06-18,2441,433,80
INV00000323,WH001,PROD00086,2026-07-15,866,185,72
INV00000324,WH001,PROD00426,2025-11-05,2829,271,126
INV00000325,WH001,PROD00384,2025-09-17,4496,32,109
INV00000326,WH001,PROD00370,2025-10-19,438,242,198
INV00000327,WH001,PROD00454,2025-11-25,3151,474,177
INV00000328,WH001,PROD00015,2025-09-25,837,418,77
INV00000329,WH001,PROD00441,2026-07-17,3385,441,94
INV00000330,WH001,PROD00307,2026-07-14,3274,494,48
INV00000331,WH001,PROD00158,2025-11-21,2379,204,110
INV00000332,WH001,PROD00229,2025-05-18,149,256,147
INV00000333,WH001,PROD00220,2026-05-24,4520,15,68
INV00000334,WH001,PROD00456,2026-07-08,2346,361,169
INV00000335,WH001,PROD00160,2026-05-25,464,64,97
INV00000336,WH001,PROD00277,2025-07-16,1957,490,100
INV00000337,WH001,PROD00356,2025-09-17,3768,464,157
INV00000338,WH001,PROD00428,2025-06-20,1637,25,99
INV00000339,WH001,PROD00019,2025-05-04,1691,398,63
INV00000340,WH001,PROD00164,2026-05-13,2008,147,59
INV00000341,WH001,PROD00414,2025-07-22,1032,288,47
INV00000342,WH001,PROD00272,2026-07-12,768,25,25
INV00000343,WH001,PROD00423,2025-07-20,3689,304,78
INV00000344,WH001,PROD00071,2026-01-28,4881,6,50
INV00000345,WH001,PROD00044,2025-03-23,727,175,183
INV00000346,WH001,PROD00021,2026-07-09,265,357,115
INV00000347,WH001,PROD00057,2025-09-13,1915,487,17
INV00000348,WH001,PROD00045,2025-12-13,389,435,110
INV00000349,WH001,PROD00420,2026-02-23,2315,157,46
INV00000350,WH001,PROD00228,2025-02-22,4965,398,192
INV00000351,WH001,PROD00409,2026-03-03,821,259,109
INV00000352,WH001,PROD00133,2025-02-28,4200,106,152
INV00000353,WH001,PROD00187,2025-08-22,4552,285,17
INV00000354,WH001,PROD00350,2026-05-12,1835,400,112
INV00000355,WH001,PROD00235,2025-03-31,148,61,95
INV00000356,WH001,PROD00404,2025-04-01,2573,191,52
INV00000357,WH001,PROD00211,2026-02-28,1782,450,177
INV00000358,WH001,PROD00374,2025-03-16,3209,378,73
INV00000359,WH001,PROD00450,2026-04-18,1328,429,86
INV00000360,WH001,PROD00475,2026-06-12,4467,315,115
INV00000361,WH001,PROD00204,2025-05-11,2931,483,87
INV00000362,WH001,PROD00283,2026-04-14,1918,66,192
INV00000363,WH001,PROD00252,2026-03-23,752,79,67
INV00000364,WH001,PROD00481,2026-04-05,1980,246,58
INV00000365,WH001,PROD00470,2026-05-06,3224,305,142
INV00000366,WH001,PROD00361,2025-04-07,3627,452,21
INV00000367,WH001,PROD00489,2025-08-19,4145,36,100
INV00000368,WH001,PROD00043,2025-08-24,2774,22,117
INV00000369,WH001,PROD00033,2025-01-04,4828,192,70
INV00000370,WH001,PROD00036,2025-12-15,4254,69,22
INV00000371,WH001,PROD00294,2026-02-23,4547,128,52
INV00000372,WH001,PROD00049,2025-09-16,3339,460,131
INV00000373,WH001,PROD00344,2025-11-28,4095,253,108
INV00000374,WH001,PROD00477,2026-01-25,4327,387,23
INV00000375,WH001,PROD00063,2025-09-08,4,2,144
INV00000376,WH001,PROD00436,2026-02-06,1576,101,163
INV00000377,WH001,PROD00237,2025-03-25,1092,73,57
INV00000378,WH001,PROD00258,2025-08-18,1397,59,86
INV00000379,WH001,PROD00217,2025-04-17,4300,74,166
INV00000380,WH001,PROD00131,2026-06-29,3819,398,139
INV00000381,WH001,PROD00078,2026-02-23,826,318,123
INV00000382,WH001,PROD00178,2025-10-04,848,488,185
INV00000383,WH001,PROD00485,2025-08-20,2298,299,108
INV00000384,WH001,PROD00460,2025-02-21,391,280,181
INV00000385,WH001,PROD00372,2025-12-10,1313,125,101
INV00000386,WH001,PROD00340,2025-09-22,3595,257,132
INV00000387,WH001,PROD00301,2026-03-22,1979,143,114
INV00000388,WH001,PROD00202,2025-03-20,552,186,96
INV00000389,WH001,PROD00238,2026-01-15,3381,465,173
INV00000390,WH001,PROD00002,2026-07-16,4427,419,150
INV00000391,WH001,PROD00483,2025-07-04,4390,54,151
INV00000392,WH001,PROD00400,2026-07-16,1810,196,136
INV00000393,WH001,PROD00075,2025-07-29,4803,374,129
INV00000394,WH001,PROD00342,2026-07-31,2594,410,12
INV00000395,WH001,PROD00009,2025-05-02,4187,332,143
INV00000396,WH001,PROD00338,2026-04-06,4354,280,177
INV00000397,WH001,PROD00451,2026-03-21,3322,389,97
INV00000398,WH001,PROD00416,2025-04-20,4794,118,162
INV00000399,WH001,PROD00119,2025-04-30,896,394,47
INV00000400,WH001,PROD00201,2026-04-20,1683,39,138
INV00000401,WH001,PROD00492,2025-06-02,2881,294,186
INV00000402,WH001,PROD00382,2025-04-07,243,63,45
INV00000403,WH001,PROD00363,2025-10-04,2567,35,72
INV00000404,WH001,PROD00248,2025-11-02,2620,86,111
INV00000405,WH001,PROD00107,2026-02-01,444,495,103
INV00000406,WH001,PROD00322,2025-01-15,4646,219,127
INV00000407,WH001,PROD00405,2026-05-23,1322,417,151
INV00000408,WH001,PROD00264,2026-05-21,3589,136,58
INV00000409,WH001,PROD00345,2025-05-22,3093,146,151
INV00000410,WH001,PROD00298,2025-08-31,327,260,111
INV00000411,WH001,PROD00240,2026-07-12,4177,431,94
INV00000412,WH001,PROD00110,2025-07-08,2047,425,182
INV00000413,WH001,PROD00135,2026-06-04,3596,379,199
INV00000414,WH001,PROD00488,2025-03-20,1036,280,182
INV00000415,WH001,PROD00172,2025-07-26,1556,396,169
INV00000416,WH001,PROD00192,2025-10-23,2480,253,44
INV00000417,WH001,PROD00056,2026-02-10,2277,8,32
INV00000418,WH001,PROD00319,2025-12-09,2836,395,168
INV00000419,WH001,PROD00223,2025-05-12,4192,439,130
INV00000420,WH001,PROD00218,2026-01-12,1708,61,139
INV00000421,WH001,PROD00403,2025-05-14,4432,429,33
INV00000422,WH001,PROD00288,2025-05-27,2869,445,85
INV00000423,WH001,PROD00312,2026-05-13,3547,308,167
INV00000424,WH001,PROD00366,2025-04-10,4245,380,36
INV00000425,WH001,PROD00186,2026-01-16,2685,442,80
INV00000426,WH001,PROD00068,2025-08-30,3806,338,40
INV00000427,WH001,PROD00099,2025-10-05,4223,295,159
INV00000428,WH001,PROD00282,2026-03-24,3512,157,149
INV00000429,WH001,PROD00020,2025-04-13,2023,353,49
INV00000430,WH001,PROD00408,2025-06-22,0,13,39
INV00000431,WH001,PROD00260,2026-07-18,1796,134,116
INV00000432,WH001,PROD00006,2025-07-22,357,462,25
INV00000433,WH001,PROD00121,2025-08-08,1547,74,77
INV00000434,WH001,PROD00022,2026-02-22,3342,46,66
INV00000435,WH001,PROD00208,2026-05-14,1663,465,117
INV00000436,WH001,PROD00206,2026-06-09,4452,197,98
INV00000437,WH001,PROD00041,2025-09-29,67,47,116
INV00000438,WH001,PROD00183,2025-06-24,1221,269,31
INV00000439,WH001,PROD00245,2025-08-16,373,307,150
INV00000440,WH001,PROD00257,2025-11-02,2149,110,163
INV00000441,WH001,PROD00174,2026-03-12,4073,472,57
INV00000442,WH001,PROD00145,2026-05-17,310,402,144
INV00000443,WH001,PROD00425,2025-05-09,3443,282,44
INV00000444,WH001,PROD00274,2025-05-03,4381,28,167
INV00000445,WH001,PROD00373,2026-04-06,570,169,185
INV00000446,WH001,PROD00067,2026-02-07,151,431,185
INV00000447,WH001,PROD00242,2026-03-07,158,314,186
INV00000448,WH001,PROD00353,2026-05-09,2821,207,166
INV00000449,WH001,PROD00429,2026-08-08,490,166,22
INV00000450,WH001,PROD00457,2026-04-14,659,96,37
INV00000451,WH001,PROD00182,2025-06-21,4434,145,108
INV00000452,WH001,PROD00455,2026-05-17,4094,41,189
INV00000453,WH001,PROD00026,2026-03-04,4913,477,140
INV00000454,WH001,PROD00401,2025-12-28,4309,477,185
INV00000455,WH001,PROD00095,2025-07-23,4154,216,134
INV00000456,WH001,PROD00151,2026-07-21,4298,5,83
INV00000457,WH001,PROD00402,2026-03-03,4290,116,76
INV00000458,WH001,PROD00157,2026-06-11,148,130,95
INV00000459,WH001,PROD00062,2025-01-03,1974,109,90
INV00000460,WH001,PROD00081,2025-06-25,2295,2,113
INV00000461,WH001,PROD00103,2025-11-13,4068,375,12
INV00000462,WH001,PROD00115,2026-05-14,1450,254,81
INV00000463,WH001,PROD00236,2025-03-05,2516,60,129
INV00000464,WH001,PROD00012,2025-11-18,453,75,72
INV00000465,WH001,PROD00484,2026-08-09,2874,162,54
INV00000466,WH001,PROD00166,2026-02-16,4647,7,105
