product_id,product_name,category,supplier_id,unit_cost,selling_price,weight_kg,reorder_level,status
PROD00021,Table 0021,Furniture,SUP0048,1763.43,1970.37,92.46,115,ACTIVE
PROD00022,Sneakers 0022,Footwear,SUP0003,1575.81,1852.63,85.87,66,ACTIVE
PROD00023,Face Wash 0023,Beauty,SUP0015,613.86,1017.01,22.37,178,ACTIVE
PROD00024,Tennis Racket 0024,Sports,SUP0050,560.81,644.14,27.98,174,DISCONTINUED
PROD00025,Battery 0025,Automotive,SUP0017,1878.78,2218.35,17.94,77,ACTIVE
PROD00026,Oven 0026,Home Appliances,SUP0021,871.95,1403.82,43.7,140,ACTIVE
PROD00027,Dumbbell 0027,Sports,SUP0028,384.21,434.57,0.27,147,ACTIVE
PROD00028,Flour 0028,Groceries,SUP0022,144.6,226.29,62.35,179,ACTIVE
PROD00029,Slippers 0029,Footwear,SUP0026,622.02,862.04,69.75,151,ACTIVE
PROD00030,T-Shirt 0030,Clothing,SUP0048,1331.53,1818.07,90.29,167,ACTIVE
PROD00031,Dumbbell 0031,Sports,SUP0014,1668.28,2189.97,43.05,158,ACTIVE
PROD00032,Lotion 0032,Beauty,SUP0031,887.11,1108.52,79.39,198,ACTIVE
PROD00033,Mixer 0033,Home Appliances,SUP0022,1033.33,1594.49,9.43,70,ACTIVE
PROD00034,Jeans 0034,Clothing,SUP0031,298.97,338.54,61.17,28,DISCONTINUED
PROD00035,Dumbbell 0035,Sports,SUP0032,392.9,623.71,40.03,47,ACTIVE
PROD00036,Vacuum 0036,Home Appliances,SUP0045,441.59,734.31,51.84,22,ACTIVE
PROD00037,Vacuum 0037,Home Appliances,SUP0034,271.01,386.26,98.79,162,ACTIVE
PROD00038,Cream 0038,Beauty,SUP0028,1630.94,2812.42,83.07,150,DISCONTINUED
PROD00039,Sofa 0039,Furniture,SUP0041,902.89,1468.32,27.8,143,DISCONTINUED
PROD00040,Jacket 0040,Clothing,SUP0016,882.55,1411.62,27.24,91,ACTIVE
PROD00041,Table 0041,Furniture,SUP0046,466.37,739.55,21.47,116,DISCONTINUED
PROD00042,Cereal 0042,Groceries,SUP0027,934.52,1068.7,39.01,159,ACTIVE
PROD00043,Magazine 0043,Books,SUP0020,956.57,1683.49,75.37,117,ACTIVE
PROD00044,Perfume 0044,Beauty,SUP0025,549.51,791.27,33.68,183,DISCONTINUED
PROD00045,Sofa 0045,Furniture,SUP0035,1839.49,3286.26,2.79,110,ACTIVE
PROD00046,Vacuum 0046,Home Appliances,SUP0004,275.72,392.4,26.09,93,ACTIVE
PROD00047,Face Wash 0047,Beauty,SUP0018,678.31,1163.81,75.23,117,ACTIVE
PROD00048,Vacuum 0048,Home Appliances,SUP0023,43.67,64.53,22.5,27,ACTIVE
PROD00049,Smartphone 0049,Electronics,SUP0010,402.72,448.74,23.93,131,ACTIVE
PROD00050,Textbook 0050,Books,SUP0024,932.74,1193.32,16.86,165,ACTIVE
PROD00051,Desk 0051,Furniture,SUP0020,220.66,246.69,57.62,106,DISCONTINUED
PROD00052,Shirt 0052,Clothing,SUP0016,1186.24,1994.54,10.28,87,ACTIVE
PROD00053,Novel 0053,Books,SUP0024,697.67,976.64,6.99,175,ACTIVE
PROD00054,Tablet 0054,Electronics,SUP0024,1645.55,1931.67,63.59,127,ACTIVE
PROD00055,Football 0055,Sports,SUP0018,1468.92,2608.55,61.63,147,DISCONTINUED
PROD00056,Lotion 0056,Beauty,SUP0021,1652.34,2502.85,85.19,32,ACTIVE
PROD00057,Perfume 0057,Beauty,SUP0043,1502.2,2251.64,37.96,17,DISCONTINUED
PROD00058,Oil 0058,Groceries,SUP0017,977.66,1318.25,34.1,162,ACTIVE
PROD00059,Brake Pad 0059,Automotive,SUP0016,1035.67,1277.75,72.04,135,ACTIVE
PROD00060,Lotion 0060,Beauty,SUP0019,899.11,999.87,22.24,187,ACTIVE
PROD00061,Slippers 0061,Footwear,SUP0023,741.2,1102.48,42.61,200,ACTIVE
PROD00062,Flour 0062,Groceries,SUP0008,545.48,696.02,72.16,90,ACTIVE
PROD00063,Engine Oil 0063,Automotive,SUP0018,387.12,625.98,72.49,144,ACTIVE
PROD00064,Microwave 0064,Home Appliances,SUP0020,596.01,806.17,1.51,146,ACTIVE
PROD00065,Shoes 0065,Footwear,SUP0045,1948.72,2898.43,94.41,173,DISCONTINUED
PROD00066,Refrigerator 0066,Home Appliances,SUP0029,1150.26,1643.24,34.14,23,ACTIVE
PROD00067,Shampoo 0067,Beauty,SUP0005,1645.12,2271.08,57.74,185,ACTIVE
PROD00068,Table 0068,Furniture,SUP0006,1623.23,2864.01,99.39,40,DISCONTINUED
PROD00069,Dictionary 0069,Books,SUP0034,1582.53,1990.79,38.1,123,ACTIVE
PROD00070,Magazine 0070,Books,SUP0040,614.23,942.67,96.01,35,ACTIVE
PROD00071,Jacket 0071,Clothing,SUP0012,1322.55,1600.21,55.24,50,ACTIVE
PROD00072,Cycle 0072,Sports,SUP0003,1380.3,1972.36,23.22,190,ACTIVE
PROD00073,Shampoo 0073,Beauty,SUP0041,1376.33,2404.09,59.02,60,DISCONTINUED
PROD00074,Oven 0074,Home Appliances,SUP0018,453.49,546.13,82.68,28,ACTIVE
PROD00075,Desk 0075,Furniture,SUP0019,1192.11,1999.13,43.97,129,ACTIVE
PROD00076,Tennis Racket 0076,Sports,SUP0006,1003.44,1450.63,59.84,120,ACTIVE
PROD00077,Notebook 0077,Books,SUP0044,56.6,71.33,83.61,157,ACTIVE
PROD00078,Slippers 0078,Footwear,SUP0031,85.26,138.92,51.94,123,ACTIVE
PROD00079,Bed 0079,Furniture,SUP0006,874.59,1460.54,47.05,114,ACTIVE
PROD00080,Rice 0080,Groceries,SUP0045,1716.18,2284.0,49.6,179,DISCONTINUED
PROD00081,Brake Pad 0081,Automotive,SUP0021,912.38,1204.49,11.68,113,ACTIVE
PROD00082,Filter 0082,Automotive,SUP0024,829.43,1021.28,62.3,137,DISCONTINUED
PROD00083,Smartphone 0083,Electronics,SUP0019,537.78,640.88,43.87,188,DISCONTINUED
PROD00084,Refrigerator 0084,Home Appliances,SUP0016,1946.43,2970.66,71.01,89,ACTIVE
PROD00085,Filter 0085,Automotive,SUP0008,190.95,342.68,46.2,40,ACTIVE
PROD00086,Face Wash 0086,Beauty,SUP0031,1020.2,1317.48,98.03,72,DISCONTINUED
PROD00087,Engine Oil 0087,Automotive,SUP0033,770.25,1344.32,74.65,44,ACTIVE
PROD00088,Sandals 0088,Footwear,SUP0018,683.05,1127.99,82.07,82,ACTIVE
PROD00089,Dictionary 0089,Books,SUP0010,1997.81,2882.34,44.71,133,ACTIVE
PROD00090,Cereal 0090,Groceries,SUP0021,1526.93,2082.8,86.97,188,ACTIVE
PROD00091,Magazine 0091,Books,SUP0003,470.96,773.73,31.89,131,DISCONTINUED
PROD00092,Football 0092,Sports,SUP0033,993.18,1118.23,96.54,94,ACTIVE
PROD00093,Shampoo 0093,Beauty,SUP0047,1054.27,1496.9,14.5,177,ACTIVE
PROD00094,Vacuum 0094,Home Appliances,SUP0040,1564.14,2010.73,69.3,176,ACTIVE
PROD00095,Cereal 0095,Groceries,SUP0046,763.12,1008.59,88.76,134,ACTIVE
PROD00096,Novel 0096,Books,SUP0019,473.37,747.49,99.74,33,DISCONTINUED
PROD00097,Refrigerator 0097,Home Appliances,SUP0002,890.14,1411.58,4.69,24,ACTIVE
PROD00098,Sugar 0098,Groceries,SUP0027,864.22,1098.37,56.64,56,ACTIVE
PROD00099,Chair 0099,Furniture,SUP0044,1220.94,1669.98,24.16,159,ACTIVE
PROD00100,T-Shirt 0100,Clothing,SUP0043,1277.62,1816.39,1.04,129,ACTIVE
PROD00101,Engine Oil 0101,Automotive,SUP0038,152.35,268.39,29.99,118,ACTIVE
PROD00102,Face Wash 0102,Beauty,SUP0031,402.44,551.06,10.75,107,ACTIVE
PROD00103,Notebook 0103,Books,SUP0043,1985.42,2594.27,39.64,12,ACTIVE
PROD00104,Magazine 0104,Books,SUP0050,1666.51,2886.49,79.91,165,ACTIVE
PROD00105,Jeans 0105,Clothing,SUP0047,1243.68,1958.09,76.77,184,ACTIVE
PROD00106,Refrigerator 0106,Home Appliances,SUP0038,621.32,875.18,36.55,43,ACTIVE
PROD00107,Boots 0107,Footwear,SUP0009,1496.22,1829.8,78.67,103,ACTIVE
PROD00108,Desk 0108,Furniture,SUP0019,1828.53,3219.92,74.68,96,ACTIVE
PROD00109,Shampoo 0109,Beauty,SUP0044,285.81,507.76,72.45,111,ACTIVE
PROD00110,Vacuum 0110,Home Appliances,SUP0030,32.77,48.36,36.92,182,ACTIVE
PROD00111,Magazine 0111,Books,SUP0007,1645.72,2893.51,67.52,130,ACTIVE
PROD00112,Dictionary 0112,Books,SUP0042,659.37,1006.9,6.42,128,ACTIVE
PROD00113,Cricket Bat 0113,Sports,SUP0020,283.86,500.27,99.59,39,ACTIVE
PROD00114,Sweater 0114,Clothing,SUP0043,275.65,390.75,94.94,188,DISCONTINUED
PROD00115,Textbook 0115,Books,SUP0032,1771.4,2760.63,61.6,81,ACTIVE
PROD00116,Oil 0116,Groceries,SUP0024,889.55,1570.4,10.03,185,ACTIVE
PROD00117,Battery 0117,Automotive,SUP0008,125.8,162.67,94.91,126,ACTIVE
PROD00118,Sweater 0118,Clothing,SUP0022,1942.33,2205.33,24.43,42,ACTIVE
PROD00119,Oven 0119,Home Appliances,SUP0015,418.28,523.34,32.92,47,ACTIVE
PROD00120,Sneakers 0120,Footwear,SUP0012,1975.12,2919.53,11.08,16,ACTIVE
PROD00121,Monitor 0121,Electronics,SUP0021,1581.02,2002.44,1.68,77,ACTIVE
PROD00122,Sofa 0122,Furniture,SUP0031,1054.54,1710.43,44.88,102,ACTIVE
PROD00123,Cream 0123,Beauty,SUP0047,446.99,684.15,78.34,178,ACTIVE
PROD00124,Shampoo 0124,Beauty,SUP0026,126.35,181.35,42.68,37,DISCONTINUED
PROD00125,Shampoo 0125,Beauty,SUP0010,1799.04,2384.59,6.66,80,ACTIVE
PROD00126,Dumbbell 0126,Sports,SUP0039,1063.46,1507.56,43.08,189,ACTIVE
PROD00127,Engine Oil 0127,Automotive,SUP0027,862.99,1485.78,33.96,126,DISCONTINUED
PROD00128,Cricket Bat 0128,Sports,SUP0017,628.53,828.88,37.49,49,DISCONTINUED
PROD00129,Refrigerator 0129,Home Appliances,SUP0007,1664.38,1939.44,74.48,105,ACTIVE
PROD00130,Brake Pad 0130,Automotive,SUP0022,1175.0,1754.4,67.03,115,ACTIVE
PROD00131,Cricket Bat 0131,Sports,SUP0023,1936.96,2944.74,10.45,139,ACTIVE
PROD00132,Sofa 0132,Furniture,SUP0036,452.37,531.88,36.82,81,ACTIVE
PROD00133,Dumbbell 0133,Sports,SUP0040,1949.22,3260.85,67.53,152,ACTIVE
PROD00134,Notebook 0134,Books,SUP0049,62.76,81.04,30.97,96,ACTIVE
PROD00135,Smartphone 0135,Electronics,SUP0026,1740.38,2604.35,7.05,199,ACTIVE
PROD00136,Oven 0136,Home Appliances,SUP0022,434.19,605.21,15.83,89,ACTIVE
PROD00137,Dictionary 0137,Books,SUP0011,174.49,198.36,75.47,22,ACTIVE
PROD00138,Sandals 0138,Footwear,SUP0029,1325.57,1908.77,41.48,65,ACTIVE
PROD00139,Flour 0139,Groceries,SUP0038,226.23,356.26,48.71,180,ACTIVE
PROD00140,Smartphone 0140,Electronics,SUP0001,793.55,1205.82,20.52,64,ACTIVE
PROD00141,Boots 0141,Footwear,SUP0048,659.6,729.13,43.12,43,DISCONTINUED
PROD00142,Engine Oil 0142,Automotive,SUP0023,1003.02,1688.43,7.3,199,ACTIVE
PROD00143,Cricket Bat 0143,Sports,SUP0021,922.21,1064.69,57.62,156,DISCONTINUED
PROD00144,Tennis Racket 0144,Sports,SUP0021,234.77,261.67,17.27,168,DISCONTINUED
PROD00145,Rice 0145,Groceries,SUP0028,876.24,1028.8,58.93,144,ACTIVE
PROD00146,Tennis Racket 0146,Sports,SUP0050,1492.88,1873.71,16.9,140,ACTIVE
PROD00147,Tyre 0147,Automotive,SUP0023,391.84,643.93,72.77,175,ACTIVE
PROD00148,Shirt 0148,Clothing,SUP0039,297.16,367.91,15.37,177,ACTIVE
PROD00149,Sofa 0149,Furniture,SUP0038,930.59,1390.87,44.95,154,ACTIVE
PROD00150,Oil 0150,Groceries,SUP0041,882.33,1260.18,30.35,80,ACTIVE
PROD00151,Cereal 0151,Groceries,SUP0003,153.01,217.77,5.78,83,ACTIVE
PROD00152,Oven 0152,Home Appliances,SUP0038,1190.19,1629.53,55.48,199,ACTIVE
PROD00153,Cream 0153,Beauty,SUP0031,1305.42,1729.77,50.19,25,DISCONTINUED
PROD00154,Mixer 0154,Home Appliances,SUP0042,1964.86,2277.33,17.34,73,DISCONTINUED
PROD00155,Cream 0155,Beauty,SUP0024,1047.88,1269.11,91.8,109,DISCONTINUED
PROD00156,Cereal 0156,Groceries,SUP0022,109.47,168.76,6.68,34,DISCONTINUED
PROD00157,Boots 0157,Footwear,SUP0039,1448.85,2259.62,87.34,95,ACTIVE
PROD00158,Textbook 0158,Books,SUP0042,1833.91,2415.56,69.88,110,ACTIVE
PROD00159,Novel 0159,Books,SUP0022,622.62,849.05,81.34,181,ACTIVE
PROD00160,Dumbbell 0160,Sports,SUP0012,726.85,984.02,95.12,97,DISCONTINUED
PROD00161,Jeans 0161,Clothing,SUP0019,1999.95,2416.86,84.46,35,ACTIVE
PROD00162,Cereal 0162,Groceries,SUP0011,266.44,363.35,18.17,187,ACTIVE
PROD00163,Shampoo 0163,Beauty,SUP0016,824.66,1297.56,96.96,166,ACTIVE
PROD00164,Perfume 0164,Beauty,SUP0031,1070.35,1409.25,90.41,59,ACTIVE
PROD00165,Magazine 0165,Books,SUP0025,926.05,1201.31,50.34,117,ACTIVE
PROD00166,Sweater 0166,Clothing,SUP0042,281.11,358.42,48.11,105,ACTIVE
PROD00167,Brake Pad 0167,Automotive,SUP0018,573.7,937.53,44.99,141,ACTIVE
PROD00168,Cricket Bat 0168,Sports,SUP0029,1893.09,2376.64,88.47,16,DISCONTINUED
PROD00169,Tablet 0169,Electronics,SUP0006,1006.5,1273.27,37.55,17,ACTIVE
PROD00170,Mixer 0170,Home Appliances,SUP0019,1583.8,1894.73,91.75,130,ACTIVE
PROD00171,Lotion 0171,Beauty,SUP0002,1232.62,2137.49,25.67,48,DISCONTINUED
PROD00172,Mixer 0172,Home Appliances,SUP0016,479.09,567.86,42.04,169,DISCONTINUED
PROD00173,Refrigerator 0173,Home Appliances,SUP0035,1674.19,2427.38,1.74,141,ACTIVE
PROD00174,Desk 0174,Furniture,SUP0016,861.33,1318.15,57.11,57,ACTIVE
PROD00175,Battery 0175,Automotive,SUP0033,140.02,205.58,78.66,139,ACTIVE
PROD00176,Cycle 0176,Sports,SUP0024,91.85,125.91,25.44,14,ACTIVE
PROD00177,Mixer 0177,Home Appliances,SUP0007,486.05,758.22,77.17,198,ACTIVE
PROD00178,Chair 0178,Furniture,SUP0042,707.84,946.37,17.59,185,DISCONTINUED
PROD00179,Perfume 0179,Beauty,SUP0050,1623.94,1858.06,94.37,19,ACTIVE
PROD00180,Shirt 0180,Clothing,SUP0021,1583.26,2723.29,93.34,141,DISCONTINUED
PROD00181,Filter 0181,Automotive,SUP0013,510.36,830.51,28.68,22,ACTIVE
PROD00182,Shoes 0182,Footwear,SUP0026,1599.69,2248.95,74.36,108,ACTIVE
PROD00183,Sofa 0183,Furniture,SUP0034,1385.68,1880.57,26.75,31,DISCONTINUED
PROD00184,Vacuum 0184,Home Appliances,SUP0035,1206.89,2022.31,29.45,36,ACTIVE
PROD00185,Sugar 0185,Groceries,SUP0028,616.46,938.15,16.75,123,ACTIVE
PROD00186,Shampoo 0186,Beauty,SUP0040,1454.99,2528.95,99.82,80,ACTIVE
PROD00187,Vacuum 0187,Home Appliances,SUP0044,729.81,1212.04,16.08,17,ACTIVE
PROD00188,Magazine 0188,Books,SUP0050,74.42,85.36,64.55,102,DISCONTINUED
PROD00189,Novel 0189,Books,SUP0024,1212.16,1909.57,37.26,29,ACTIVE
PROD00190,Battery 0190,Automotive,SUP0016,799.08,1242.32,96.06,16,ACTIVE
PROD00191,Cream 0191,Beauty,SUP0017,777.04,1160.25,77.52,190,DISCONTINUED
PROD00192,Sweater 0192,Clothing,SUP0032,574.73,1000.91,20.1,44,ACTIVE
PROD00193,Perfume 0193,Beauty,SUP0006,1797.86,2537.82,81.07,91,ACTIVE
PROD00194,Oven 0194,Home Appliances,SUP0011,1086.63,1873.28,71.21,189,ACTIVE
PROD00195,Cereal 0195,Groceries,SUP0009,452.36,809.54,23.75,136,ACTIVE
PROD00196,Cereal 0196,Groceries,SUP0036,1146.69,1636.54,13.06,32,ACTIVE
PROD00197,Sandals 0197,Footwear,SUP0034,1999.19,3205.12,41.14,114,ACTIVE
PROD00198,Desk 0198,Furniture,SUP0044,1286.47,1820.33,51.78,42,ACTIVE
PROD00199,Sofa 0199,Furniture,SUP0008,1008.21,1721.77,51.86,87,ACTIVE
PROD00200,Desk 0200,Furniture,SUP0034,1869.8,2351.89,89.5,30,ACTIVE
PROD00201,Sweater 0201,Clothing,SUP0040,552.53,849.52,53.39,138,ACTIVE
PROD00202,Dictionary 0202,Books,SUP0047,312.62,488.04,90.21,96,ACTIVE
PROD00203,Laptop 0203,Electronics,SUP0037,95.7,148.24,26.54,63,DISCONTINUED
PROD00204,Novel 0204,Books,SUP0019,998.59,1536.84,64.23,87,DISCONTINUED
PROD00205,T-Shirt 0205,Clothing,SUP0004,598.38,688.78,15.89,116,DISCONTINUED
PROD00206,Perfume 0206,Beauty,SUP0046,683.68,820.8,32.0,98,DISCONTINUED
PROD00207,Desk 0207,Furniture,SUP0016,1032.39,1212.37,46.7,78,DISCONTINUED
PROD00208,Jeans 0208,Clothing,SUP0025,198.14,258.21,86.43,117,ACTIVE
PROD00209,Desk 0209,Furniture,SUP0013,1867.83,2997.47,76.34,137,DISCONTINUED
PROD00210,Face Wash 0210,Beauty,SUP0026,997.25,1159.84,50.59,71,ACTIVE
PROD00211,Notebook 0211,Books,SUP0039,102.07,132.38,88.25,177,DISCONTINUED
PROD00212,Slippers 0212,Footwear,SUP0009,21.31,25.04,88.26,196,ACTIVE
PROD00213,Tennis Racket 0213,Sports,SUP0036,95.26,108.2,19.55,151,ACTIVE
PROD00214,Vacuum 0214,Home Appliances,SUP0018,1010.99,1653.05,82.55,169,ACTIVE
PROD00215,Chair 0215,Furniture,SUP0022,790.84,1309.97,55.83,103,ACTIVE
PROD00216,Sweater 0216,Clothing,SUP0003,1020.7,1480.07,3.99,192,ACTIVE
PROD00217,Cream 0217,Beauty,SUP0033,916.69,1397.39,14.06,166,ACTIVE
PROD00218,Sofa 0218,Furniture,SUP0020,1981.28,3204.77,59.41,139,DISCONTINUED
PROD00219,Notebook 0219,Books,SUP0022,952.41,1058.74,67.41,116,ACTIVE
PROD00220,Headphones 0220,Electronics,SUP0050,951.81,1691.32,57.89,68,ACTIVE
PROD00221,Magazine 0221,Books,SUP0040,345.17,531.67,77.48,107,ACTIVE
PROD00222,Shirt 0222,Clothing,SUP0013,1147.28,1824.59,1.99,90,DISCONTINUED
PROD00223,Sofa 0223,Furniture,SUP0050,1382.55,1917.96,61.19,130,ACTIVE
PROD00224,Bed 0224,Furniture,SUP0043,418.65,555.77,47.89,106,ACTIVE
PROD00225,Sofa 0225,Furniture,SUP0023,1824.69,2444.41,67.62,194,ACTIVE
PROD00226,Magazine 0226,Books,SUP0036,388.57,494.48,29.92,86,ACTIVE
PROD00227,T-Shirt 0227,Clothing,SUP0047,637.5,856.9,27.42,41,DISCONTINUED
PROD00228,Tennis Racket 0228,Sports,SUP0019,1909.44,3175.84,4.3,192,ACTIVE
PROD00229,Flour 0229,Groceries,SUP0014,1313.66,2132.25,20.29,147,ACTIVE
PROD00230,Battery 0230,Automotive,SUP0038,278.86,426.93,24.0,22,ACTIVE
PROD00231,Shirt 0231,Clothing,SUP0031,204.89,272.75,10.14,45,ACTIVE
PROD00232,Engine Oil 0232,Automotive,SUP0031,816.78,1433.06,47.8,61,ACTIVE
PROD00233,Sugar 0233,Groceries,SUP0006,1293.57,2245.06,65.26,69,ACTIVE
PROD00234,Sofa 0234,Furniture,SUP0003,1765.08,2158.78,99.72,111,DISCONTINUED
PROD00235,Desk 0235,Furniture,SUP0037,1754.1,1940.89,60.32,95,ACTIVE
PROD00236,Cream 0236,Beauty,SUP0009,1051.02,1810.36,85.12,129,ACTIVE
PROD00237,Shirt 0237,Clothing,SUP0042,664.71,1071.37,25.8,57,ACTIVE
PROD00238,Sugar 0238,Groceries,SUP0012,1137.72,1854.6,61.13,173,DISCONTINUED
PROD00239,Dumbbell 0239,Sports,SUP0007,659.21,910.09,18.56,45,DISCONTINUED
PROD00240,Oil 0240,Groceries,SUP0029,18.63,25.5,75.4,94,ACTIVE
PROD00241,Dictionary 0241,Books,SUP0045,27.81,43.32,23.71,180,ACTIVE
PROD00242,Face Wash 0242,Beauty,SUP0046,323.64,511.43,77.01,186,ACTIVE
PROD00243,Boots 0243,Footwear,SUP0009,1231.18,1543.15,47.87,126,ACTIVE
PROD00244,Dumbbell 0244,Sports,SUP0043,1826.03,2976.69,82.58,73,ACTIVE
PROD00245,Filter 0245,Automotive,SUP0037,1058.71,1432.7,11.31,150,ACTIVE
PROD00246,Dictionary 0246,Books,SUP0034,303.96,404.17,44.24,184,ACTIVE
PROD00247,Magazine 0247,Books,SUP0004,186.43,271.68,45.4,141,DISCONTINUED
PROD00248,Cream 0248,Beauty,SUP0020,120.18,171.1,72.36,111,ACTIVE
PROD00249,Smartphone 0249,Electronics,SUP0023,1158.73,1311.34,70.07,148,ACTIVE
PROD00250,Vacuum 0250,Home Appliances,SUP0050,68.31,94.69,13.63,174,DISCONTINUED
PROD00251,Flour 0251,Groceries,SUP0025,899.83,1567.49,37.63,184,ACTIVE
PROD00252,Rice 0252,Groceries,SUP0034,361.05,532.94,12.82,67,ACTIVE
PROD00253,Monitor 0253,Electronics,SUP0028,928.69,1489.03,53.24,68,ACTIVE
PROD00254,Face Wash 0254,Beauty,SUP0047,314.47,387.41,76.57,18,DISCONTINUED
PROD00255,Novel 0255,Books,SUP0039,485.13,556.49,3.45,163,ACTIVE
PROD00256,Shirt 0256,Clothing,SUP0014,807.52,1020.74,75.46,24,ACTIVE
PROD00257,Battery 0257,Automotive,SUP0037,472.15,822.24,31.96,163,ACTIVE
PROD00258,Jacket 0258,Clothing,SUP0034,1753.14,3138.1,22.18,86,ACTIVE
PROD00259,Headphones 0259,Electronics,SUP0012,1897.3,3255.39,62.64,119,DISCONTINUED
PROD00260,Monitor 0260,Electronics,SUP0034,1883.46,2956.92,31.94,116,DISCONTINUED
PROD00261,Desk 0261,Furniture,SUP0031,756.04,1230.9,24.17,67,ACTIVE
PROD00262,Sofa 0262,Furniture,SUP0027,1829.91,2733.28,55.77,44,DISCONTINUED
PROD00263,Jacket 0263,Clothing,SUP0029,410.66,637.63,84.73,33,ACTIVE
PROD00264,Monitor 0264,Electronics,SUP0003,757.45,1153.96,87.37,58,ACTIVE
PROD00265,Perfume 0265,Beauty,SUP0001,1739.6,2319.02,21.26,58,ACTIVE
PROD00266,Perfume 0266,Beauty,SUP0026,1392.77,2218.18,91.52,151,ACTIVE
PROD00267,Sandals 0267,Footwear,SUP0020,935.17,1453.35,26.23,141,DISCONTINUED
PROD00268,Shampoo 0268,Beauty,SUP0049,1606.62,2579.73,83.99,62,ACTIVE
PROD00269,Flour 0269,Groceries,SUP0048,96.2,164.01,14.68,76,DISCONTINUED
PROD00270,Sneakers 0270,Footwear,SUP0037,396.4,499.87,83.35,137,ACTIVE
PROD00271,Sandals 0271,Footwear,SUP0032,1933.18,2994.86,46.14,197,ACTIVE
PROD00272,Table 0272,Furniture,SUP0035,1442.03,2079.15,99.03,25,ACTIVE
PROD00273,Refrigerator 0273,Home Appliances,SUP0041,1529.86,2124.48,23.22,191,ACTIVE
PROD00274,Smartphone 0274,Electronics,SUP0040,1013.94,1380.22,63.81,167,DISCONTINUED
PROD00275,Shampoo 0275,Beauty,SUP0001,18.19,27.03,1.77,194,ACTIVE
PROD00276,Battery 0276,Automotive,SUP0044,39.2,65.43,43.11,55,ACTIVE
PROD00277,Oven 0277,Home Appliances,SUP0034,302.05,372.84,25.32,100,ACTIVE
PROD00278,Cricket Bat 0278,Sports,SUP0037,749.24,1037.11,24.4,188,ACTIVE
PROD00279,Shoes 0279,Footwear,SUP0049,1309.2,2226.63,3.27,113,DISCONTINUED
PROD00280,Dumbbell 0280,Sports,SUP0045,954.63,1475.59,17.22,137,DISCONTINUED
PROD00281,Cereal 0281,Groceries,SUP0034,1954.77,3482.79,91.92,68,ACTIVE
PROD00282,Magazine 0282,Books,SUP0044,545.83,953.52,92.57,149,ACTIVE
PROD00283,Desk 0283,Furniture,SUP0010,36.24,45.12,75.25,192,DISCONTINUED
PROD00284,Mixer 0284,Home Appliances,SUP0025,329.09,417.39,67.74,148,ACTIVE
PROD00285,Football 0285,Sports,SUP0006,1582.04,2503.61,50.13,98,ACTIVE
PROD00286,Vacuum 0286,Home Appliances,SUP0039,468.13,539.85,76.92,162,DISCONTINUED
PROD00287,Rice 0287,Groceries,SUP0029,1270.08,2093.71,49.11,101,DISCONTINUED
PROD00288,Football 0288,Sports,SUP0006,1360.99,2126.51,77.24,85,ACTIVE
PROD00289,Refrigerator 0289,Home Appliances,SUP0041,539.6,737.09,15.51,109,ACTIVE
PROD00290,Rice 0290,Groceries,SUP0029,187.58,330.15,36.06,79,ACTIVE
PROD00291,Chair 0291,Furniture,SUP0036,378.85,535.77,51.29,36,ACTIVE
PROD00292,Mixer 0292,Home Appliances,SUP0021,1110.67,1685.83,86.39,13,ACTIVE
