order_id,customer_id,product_id,warehouse_id,order_date,quantity,unit_price,total_amount,order_status,payment_status
ORD00000029,CUST007669,PROD00297,WH001,2026-02-12 09:54:18,9,2141.24,19271.16,PROCESSING,REFUNDED
ORD00000030,CUST003105,PROD00342,WH003,2026-06-25 21:29:40,2,2022.49,4044.98,DELIVERED,PENDING
ORD00000031,CUST009686,PROD00306,WH004,2026-06-30 14:00:43,8,252.93,2023.44,CANCELLED,REFUNDED
ORD00000032,CUST001752,PROD00263,WH010,2025-08-06 16:55:14,5,637.63,3188.15,DELIVERED,PAID
ORD00000033,CUST005701,PROD00360,WH010,2026-07-30 06:37:03,10,871.05,8710.5,DELIVERED,PAID
ORD00000034,CUST003641,PROD00152,WH006,2025-05-09 15:25:45,4,1629.53,6518.12,PLACED,REFUNDED
ORD00000035,CUST006701,PROD00244,WH003,2026-07-25 09:39:19,1,2976.69,2976.69,DELIVERED,PENDING
ORD00000036,CUST001129,PROD00122,WH008,2026-07-19 04:05:18,10,1710.43,17104.3,DELIVERED,PAID
ORD00000037,CUST001408,PROD00200,WH003,2025-12-29 17:32:16,5,2351.89,11759.45,PLACED,PENDING
ORD00000038,CUST002617,PROD00236,WH004,2025-12-23 23:10:48,6,1810.36,10862.16,PLACED,PAID
ORD00000039,CUST008138,PROD00142,WH002,2025-06-09 12:26:26,5,1688.43,8442.15,DELIVERED,PAID
ORD00000040,CUST005742,PROD00459,WH010,2026-01-25 14:30:17,8,121.02,968.16,PLACED,PAID
ORD00000041,CUST002657,PROD00123,WH005,2025-12-21 19:23:39,5,684.15,3420.75,DELIVERED,PENDING
ORD00000042,CUST008114,PROD00023,WH010,2026-01-28 00:58:40,5,1017.01,5085.05,DELIVERED,PENDING
ORD00000043,CUST005354,PROD00013,WH007,2025-08-09 14:17:02,8,1301.41,10411.28,DELIVERED,PAID
ORD00000044,CUST009577,PROD00293,WH001,2025-06-17 12:42:59,9,2506.63,22559.67,DELIVERED,PAID
ORD00000045,CUST004070,PROD00484,WH005,2026-03-11 04:00:54,5,3045.05,15225.25,PLACED,PENDING
ORD00000046,CUST004753,PROD00339,WH005,2026-02-22 06:24:16,7,497.36,3481.52,DELIVERED,PAID
ORD00000047,CUST006611,PROD00277,WH007,2026-04-27 23:12:20,3,372.84,1118.52,PLACED,PAID
ORD00000048,CUST008870,PROD00320,WH008,2025-05-11 15:32:27,8,1201.71,9613.68,PROCESSING,REFUNDED
ORD00000049,CUST006276,PROD00122,WH005,2025-05-23 00:59:00,6,1710.43,10262.58,PLACED,PAID
ORD00000050,CUST001813,PROD00103,WH009,2025-04-25 17:24:30,4,2594.27,10377.08,DELIVERED,PAID
ORD00000051,CUST006141,PROD00196,WH005,2026-06-08 18:39:34,2,1636.54,3273.08,SHIPPED,PAID
ORD00000052,CUST006297,PROD00494,WH010,2026-05-10 13:39:24,2,789.88,1579.76,DELIVERED,PAID
ORD00000053,CUST002695,PROD00403,WH001,2025-09-25 01:18:45,6,469.3,2815.8,DELIVERED,PAID
ORD00000054,CUST007717,PROD00126,WH010,2025-06-28 23:19:31,2,1507.56,3015.12,DELIVERED,REFUNDED
ORD00000055,CUST009734,PROD00381,WH004,2025-12-22 09:26:38,2,1987.04,3974.08,DELIVERED,PAID
ORD00000056,CUST002317,PROD00212,WH004,2025-04-30 08:00:29,9,25.04,225.36,PROCESSING,REFUNDED
ORD00000057,CUST004423,PROD00054,WH008,2025-10-19 20:44:25,6,1931.67,11590.02,CANCELLED,PENDING
ORD00000058,CUST005117,PROD00104,WH003,2026-05-13 15:26:31,2,2886.49,5772.98,DELIVERED,PAID
ORD00000059,CUST003613,PROD00476,WH004,2026-06-16 17:49:11,8,6.21,49.68,DELIVERED,PAID
ORD00000060,CUST005238,PROD00226,WH005,2025-10-01 16:49:09,6,494.48,2966.88,DELIVERED,PAID
ORD00000061,CUST007588,PROD00274,WH001,2026-02-08 12:14:24,8,1380.22,11041.76,PLACED,PENDING
ORD00000062,CUST003223,PROD00178,WH004,2025-04-01 21:58:27,1,946.37,946.37,PROCESSING,PAID
ORD00000063,CUST009272,PROD00457,WH007,2025-08-15 08:42:25,8,1571.63,12573.04,SHIPPED,REFUNDED
ORD00000064,CUST002787,PROD00101,WH001,2025-08-02 07:16:19,3,268.39,805.17,DELIVERED,PAID
ORD00000065,CUST001530,PROD00043,WH006,2026-02-02 19:40:06,4,1683.49,6733.96,DELIVERED,PAID
ORD00000066,CUST007533,PROD00025,WH005,2025-12-17 09:07:51,1,2218.35,2218.35,SHIPPED,PAID
ORD00000067,CUST005018,PROD00386,WH002,2026-04-06 00:03:50,4,2279.45,9117.8,SHIPPED,PENDING
ORD00000068,CUST002861,PROD00331,WH002,2025-06-19 07:21:18,9,1399.56,12596.04,DELIVERED,PENDING
ORD00000069,CUST005786,PROD00098,WH009,2026-07-02 16:11:03,3,1098.37,3295.11,SHIPPED,REFUNDED
ORD00000070,CUST005044,PROD00174,WH010,2025-09-09 19:06:13,4,1318.15,5272.6,DELIVERED,REFUNDED
ORD00000071,CUST009147,PROD00062,WH010,2025-03-31 05:38:33,10,696.02,6960.2,DELIVERED,REFUNDED
ORD00000072,CUST002619,PROD00072,WH003,2026-06-01 02:37:41,9,1972.36,17751.24,DELIVERED,PAID
ORD00000073,CUST002434,PROD00052,WH007,2026-06-08 22:15:45,5,1994.54,9972.7,CANCELLED,PAID
ORD00000074,CUST005630,PROD00484,WH008,2026-02-06 07:16:54,3,3045.05,9135.15,DELIVERED,PAID
ORD00000075,CUST005830,PROD00392,WH003,2025-02-01 00:13:22,7,2047.42,14331.94,DELIVERED,REFUNDED
ORD00000076,CUST007156,PROD00361,WH010,2025-09-05 00:22:45,10,1532.82,15328.2,DELIVERED,PENDING
ORD00000077,CUST006849,PROD00231,WH004,2025-03-17 01:33:06,5,272.75,1363.75,DELIVERED,PAID
ORD00000078,CUST006792,PROD00268,WH006,2025-05-20 01:40:06,6,2579.73,15478.38,DELIVERED,PENDING
ORD00000079,CUST001374,PROD00438,WH009,2025-04-08 19:30:39,6,2098.34,12590.04,DELIVERED,PENDING
ORD00000080,CUST000706,PROD00010,WH001,2025-08-17 02:27:03,2,1770.16,3540.32,DELIVERED,PAID
ORD00000081,CUST008713,PROD00049,WH006,2026-03-28 08:30:20,2,448.74,897.48,DELIVERED,REFUNDED
ORD00000082,CUST006162,PROD00084,WH005,2026-05-08 08:57:46,8,2970.66,23765.28,SHIPPED,PAID
ORD00000083,CUST002981,PROD00171,WH003,2025-11-26 09:51:00,8,2137.49,17099.92,PROCESSING,PENDING
ORD00000084,CUST001436,PROD00482,WH001,2025-06-14 07:02:00,1,150.89,150.89,SHIPPED,PAID
ORD00000085,CUST004516,PROD00273,WH001,2025-12-03 19:39:39,7,2124.48,14871.36,DELIVERED,PAID
ORD00000086,CUST009625,PROD00364,WH010,2026-06-18 07:32:30,2,3495.94,6991.88,DELIVERED,PAID
ORD00000087,CUST009619,PROD00444,WH004,2026-07-24 17:43:16,4,2659.28,10637.12,DELIVERED,PAID
ORD00000088,CUST000631,PROD00226,WH003,2025-01-09 21:04:41,7,494.48,3461.36,DELIVERED,REFUNDED
ORD00000089,CUST008733,PROD00191,WH008,2025-12-08 21:29:30,5,1160.25,5801.25,DELIVERED,PAID
ORD00000090,CUST002656,PROD00400,WH006,2026-07-16 12:49:55,2,1249.83,2499.66,SHIPPED,PAID
ORD00000091,CUST007929,PROD00004,WH009,2025-06-27 07:40:08,8,595.69,4765.52,SHIPPED,PAID
ORD00000092,CUST004788,PROD00461,WH009,2025-09-03 03:57:29,3,1798.13,5394.39,DELIVERED,PAID
ORD00000093,CUST007406,PROD00352,WH008,2026-04-25 01:45:30,4,1211.29,4845.16,DELIVERED,PAID
ORD00000094,CUST006687,PROD00114,WH004,2026-06-20 05:05:03,7,390.75,2735.25,DELIVERED,PENDING
ORD00000095,CUST005251,PROD00170,WH008,2026-02-13 18:46:25,5,1894.73,9473.65,DELIVERED,PENDING
ORD00000096,CUST002937,PROD00050,WH007,2025-07-15 14:08:27,8,1193.32,9546.56,DELIVERED,PAID
ORD00000097,CUST003460,PROD00389,WH010,2025-12-04 21:13:56,8,508.86,4070.88,PLACED,PAID
ORD00000098,CUST008779,PROD00426,WH002,2025-08-13 20:04:46,6,2172.12,13032.72,DELIVERED,PENDING
ORD00000099,CUST007167,PROD00190,WH010,2025-07-22 05:35:07,3,1242.32,3726.96,DELIVERED,PAID
ORD00000100,CUST008764,PROD00308,WH004,2025-06-24 09:59:58,9,297.13,2674.17,DELIVERED,REFUNDED
ORD00000101,CUST001391,PROD00163,WH010,2025-02-08 02:56:26,5,1297.56,6487.8,SHIPPED,REFUNDED
ORD00000102,CUST004091,PROD00084,WH001,2025-10-20 19:54:04,4,2970.66,11882.64,PROCESSING,PAID
ORD00000103,CUST004490,PROD00457,WH010,2026-03-16 00:45:03,2,1571.63,3143.26,DELIVERED,PENDING
ORD00000104,CUST002667,PROD00475,WH008,2026-03-09 22:23:24,3,3180.8,9542.4,SHIPPED,PAID
ORD00000105,CUST006318,PROD00017,WH003,2025-05-10 01:50:18,7,2205.13,15435.91,DELIVERED,PAID
ORD00000106,CUST004171,PROD00095,WH006,2025-09-28 22:12:43,9,1008.59,9077.31,DELIVERED,PAID
ORD00000107,CUST005331,PROD00181,WH005,2026-01-30 01:17:44,8,830.51,6644.08,DELIVERED,REFUNDED
ORD00000108,CUST002429,PROD00338,WH001,2026-04-29 05:18:23,4,2015.19,8060.76,DELIVERED,PAID
ORD00000109,CUST006360,PROD00368,WH005,2025-07-14 16:35:38,4,1431.69,5726.76,SHIPPED,PAID
ORD00000110,CUST002772,PROD00003,WH010,2025-07-19 19:24:59,1,2974.88,2974.88,DELIVERED,PENDING
ORD00000111,CUST002840,PROD00474,WH005,2025-11-14 09:42:58,5,228.95,1144.75,DELIVERED,PENDING
ORD00000112,CUST005384,PROD00040,WH010,2025-11-04 16:31:13,9,1411.62,12704.58,DELIVERED,REFUNDED
ORD00000113,CUST008370,PROD00327,WH001,2025-07-22 00:08:26,10,2416.25,24162.5,DELIVERED,PENDING
ORD00000114,CUST007029,PROD00384,WH002,2025-12-20 00:59:41,3,2096.99,6290.97,DELIVERED,PAID
ORD00000115,CUST009803,PROD00081,WH008,2025-11-13 16:55:37,4,1204.49,4817.96,PROCESSING,REFUNDED
ORD00000116,CUST004299,PROD00418,WH001,2025-11-23 02:36:19,4,1939.08,7756.32,DELIVERED,PAID
ORD00000117,CUST006184,PROD00268,WH005,2025-06-04 07:16:36,3,2579.73,7739.19,PLACED,PAID
ORD00000118,CUST003289,PROD00296,WH010,2025-10-14 04:35:26,3,464.22,1392.66,PROCESSING,PENDING
ORD00000119,CUST008918,PROD00168,WH006,2025-02-09 02:53:44,2,2376.64,4753.28,PROCESSING,PAID
ORD00000120,CUST007613,PROD00334,WH001,2025-05-25 06:28:39,4,842.89,3371.56,DELIVERED,PENDING
ORD00000121,CUST007568,PROD00115,WH006,2026-07-16 23:21:09,6,2760.63,16563.78,CANCELLED,PENDING
ORD00000122,CUST009118,PROD00301,WH010,2026-03-14 02:24:42,5,1147.09,5735.45,DELIVERED,PENDING
ORD00000123,CUST008075,PROD00194,WH010,2026-02-13 11:11:44,9,1873.28,16859.52,DELIVERED,PAID
ORD00000124,CUST007655,PROD00307,WH009,2026-05-13 12:31:47,1,1288.41,1288.41,PLACED,PAID
ORD00000125,CUST003660,PROD00133,WH001,2026-01-21 16:48:45,1,3260.85,3260.85,DELIVERED,PENDING
ORD00000126,CUST001191,PROD00074,WH002,2025-06-07 01:40:18,7,546.13,3822.91,PLACED,PAID
ORD00000127,CUST003075,PROD00225,WH003,2025-04-21 07:31:51,5,2444.41,12222.05,DELIVERED,PAID
ORD00000128,CUST003567,PROD00139,WH004,2025-11-24 04:00:12,6,356.26,2137.56,SHIPPED,PENDING
ORD00000129,CUST007330,PROD00025,WH002,2026-06-23 23:47:44,4,2218.35,8873.4,SHIPPED,PENDING
ORD00000130,CUST001210,PROD00120,WH003,2026-06-01 09:56:47,3,2919.53,8758.59,DELIVERED,PAID
ORD00000131,CUST009299,PROD00244,WH009,2025-06-02 13:14:21,9,2976.69,26790.21,DELIVERED,PENDING
ORD00000132,CUST004791,PROD00083,WH004,2025-09-27 22:29:26,2,640.88,1281.76,DELIVERED,PAID
ORD00000133,CUST001370,PROD00257,WH006,2026-05-12 08:06:53,1,822.24,822.24,SHIPPED,PAID
ORD00000134,CUST009109,PROD00143,WH005,2026-01-15 12:38:40,5,1064.69,5323.45,DELIVERED,PAID
ORD00000135,CUST000721,PROD00171,WH010,2025-05-25 00:48:05,6,2137.49,12824.94,DELIVERED,PAID
ORD00000136,CUST000626,PROD00055,WH004,2026-02-15 19:00:46,9,2608.55,23476.95,PLACED,PAID
ORD00000137,CUST007484,PROD00134,WH005,2025-10-07 19:53:00,7,81.04,567.28,DELIVERED,PAID
ORD00000138,CUST002390,PROD00235,WH009,2026-02-18 23:00:47,3,1940.89,5822.67,CANCELLED,PENDING
ORD00000139,CUST005927,PROD00170,WH009,2025-10-10 05:43:18,10,1894.73,18947.3,DELIVERED,PAID
ORD00000140,CUST001054,PROD00403,WH003,2026-02-23 11:07:23,4,469.3,1877.2,DELIVERED,PAID
ORD00000141,CUST006679,PROD00468,WH009,2025-12-04 21:51:47,3,2961.48,8884.44,PLACED,REFUNDED
ORD00000142,CUST006476,PROD00124,WH003,2026-01-21 05:53:58,5,181.35,906.75,DELIVERED,PENDING
ORD00000143,CUST008644,PROD00086,WH007,2025-11-27 20:44:25,7,1317.48,9222.36,PLACED,PAID
ORD00000144,CUST004655,PROD00433,WH003,2025-09-16 18:48:45,8,2421.76,19374.08,DELIVERED,PAID
ORD00000145,CUST007534,PROD00253,WH002,2026-06-30 20:09:49,2,1489.03,2978.06,DELIVERED,PAID
ORD00000146,CUST002776,PROD00319,WH009,2026-03-19 16:47:15,5,1176.45,5882.25,CANCELLED,REFUNDED
ORD00000147,CUST007905,PROD00500,WH009,2025-08-20 16:26:51,8,2819.51,22556.08,SHIPPED,PAID
ORD00000148,CUST002198,PROD00405,WH007,2026-04-20 18:20:07,9,257.5,2317.5,DELIVERED,PAID
ORD00000149,CUST005221,PROD00422,WH006,2026-05-13 09:25:09,9,1124.19,10117.71,DELIVERED,PAID
ORD00000150,CUST005791,PROD00025,WH001,2025-01-25 14:52:17,10,2218.35,22183.5,SHIPPED,REFUNDED
ORD00000151,CUST002615,PROD00328,WH001,2026-03-09 11:25:42,6,749.4,4496.4,DELIVERED,PAID
ORD00000152,CUST003310,PROD00344,WH007,2025-06-28 23:01:30,1,2148.87,2148.87,CANCELLED,REFUNDED
ORD00000153,CUST006193,PROD00050,WH002,2025-11-26 03:21:39,8,1193.32,9546.56,CANCELLED,REFUNDED
ORD00000154,CUST002132,PROD00159,WH003,2026-07-06 20:39:14,1,849.05,849.05,PLACED,PAID
ORD00000155,CUST005915,PROD00477,WH008,2025-01-26 08:29:48,5,655.76,3278.8,SHIPPED,PAID
ORD00000156,CUST000934,PROD00087,WH003,2025-11-25 19:36:13,5,1344.32,6721.6,PLACED,PENDING
ORD00000157,CUST004810,PROD00417,WH007,2025-06-15 18:36:01,2,266.05,532.1,PLACED,PENDING
ORD00000158,CUST002050,PROD00163,WH006,2026-04-16 12:53:22,3,1297.56,3892.68,PROCESSING,PAID
ORD00000159,CUST004952,PROD00398,WH005,2026-08-03 21:50:37,4,768.5,3074.0,DELIVERED,PENDING
ORD00000160,CUST009373,PROD00133,WH002,2026-04-12 00:02:52,7,3260.85,22825.95,SHIPPED,PENDING
ORD00000161,CUST004211,PROD00125,WH009,2025-06-14 10:43:49,10,2384.59,23845.9,PLACED,REFUNDED
ORD00000162,CUST008675,PROD00376,WH001,2025-08-07 04:38:14,10,716.64,7166.4,SHIPPED,REFUNDED
ORD00000163,CUST003510,PROD00352,WH005,2025-01-25 18:15:21,2,1211.29,2422.58,SHIPPED,REFUNDED
ORD00000164,CUST009861,PROD00075,WH007,2026-06-02 18:26:19,3,1999.13,5997.39,DELIVERED,PENDING
ORD00000165,CUST001842,PROD00283,WH002,2026-03-18 09:52:22,2,45.12,90.24,DELIVERED,REFUNDED
ORD00000166,CUST006477,PROD00165,WH008,2025-09-09 08:07:58,8,1201.31,9610.48,DELIVERED,PAID
ORD00000167,CUST004995,PROD00421,WH001,2025-04-17 04:24:16,7,2370.64,16594.48,SHIPPED,PAID
ORD00000168,CUST007027,PROD00365,WH008,2026-03-13 21:05:17,10,2082.86,20828.6,DELIVERED,PAID
ORD00000169,CUST004421,PROD00273,WH002,2025-10-18 20:24:04,10,2124.48,21244.8,PROCESSING,REFUNDED
ORD00000170,CUST001172,PROD00263,WH002,2026-01-02 20:14:36,3,637.63,1912.89,DELIVERED,PAID
ORD00000171,CUST006953,PROD00234,WH008,2025-09-02 09:40:20,9,2158.78,19429.02,DELIVERED,REFUNDED
ORD00000172,CUST007058,PROD00240,WH003,2026-04-25 23:00:35,9,25.5,229.5,DELIVERED,PAID
ORD00000173,CUST002737,PROD00062,WH004,2026-03-24 22:26:35,6,696.02,4176.12,PLACED,PENDING
ORD00000174,CUST008811,PROD00229,WH008,2025-11-27 11:52:12,6,2132.25,12793.5,SHIPPED,REFUNDED
ORD00000175,CUST003712,PROD00071,WH010,2025-03-20 22:07:34,3,1600.21,4800.63,SHIPPED,PENDING
ORD00000176,CUST006326,PROD00144,WH009,2026-06-09 01:56:18,5,261.67,1308.35,DELIVERED,PAID
ORD00000177,CUST009412,PROD00443,WH008,2025-01-20 02:17:27,7,1713.14,11991.98,DELIVERED,PENDING
ORD00000178,CUST005310,PROD00407,WH001,2025-12-24 19:41:47,6,14.64,87.84,DELIVERED,REFUNDED
ORD00000179,CUST002539,PROD00329,WH010,2025-06-29 13:09:49,2,3298.63,6597.26,CANCELLED,REFUNDED
ORD00000180,CUST000733,PROD00115,WH001,2025-03-06 23:48:20,10,2760.63,27606.3,SHIPPED,REFUNDED
ORD00000181,CUST007771,PROD00353,WH002,2025-06-22 11:20:13,8,139.85,1118.8,DELIVERED,PAID
ORD00000182,CUST006955,PROD00049,WH006,2025-01-17 17:17:19,5,448.74,2243.7,DELIVERED,PENDING
ORD00000183,CUST004065,PROD00092,WH002,2025-05-22 13:52:18,9,1118.23,10064.07,SHIPPED,PENDING
ORD00000184,CUST001403,PROD00366,WH006,2025-01-09 08:15:02,2,2071.07,4142.14,DELIVERED,REFUNDED
ORD00000185,CUST004891,PROD00225,WH003,2025-07-19 05:49:32,4,2444.41,9777.64,DELIVERED,REFUNDED
ORD00000186,CUST002706,PROD00294,WH004,2025-04-09 07:18:08,6,369.63,2217.78,DELIVERED,PENDING
ORD00000187,CUST007129,PROD00468,WH007,2025-09-27 11:37:14,3,2961.48,8884.44,DELIVERED,PAID
ORD00000188,CUST005635,PROD00388,WH004,2026-01-21 23:04:45,7,1033.73,7236.11,DELIVERED,PENDING
ORD00000189,,PROD00299,WH004,2025-04-03 02:11:58,7,3188.82,22321.74,DELIVERED,PAID
ORD00000190,CUST009214,PROD00161,WH008,2025-02-22 13:01:30,6,2416.86,14501.16,DELIVERED,PAID
ORD00000191,CUST007249,PROD00120,WH005,2025-02-27 22:36:35,10,2919.53,29195.3,DELIVERED,PAID
ORD00000192,CUST007732,PROD00184,WH010,2025-07-10 10:29:18,1,2022.31,2022.31,DELIVERED,REFUNDED
ORD00000193,CUST001468,PROD00400,WH006,2026-01-27 01:05:35,9,1249.83,11248.47,PROCESSING,PENDING
ORD00000194,CUST001036,PROD00043,WH005,2025-03-07 21:59:26,4,1683.49,6733.96,DELIVERED,PAID
ORD00000195,CUST001938,PROD00111,WH001,2025-08-07 09:41:13,2,2893.51,5787.02,PLACED,PENDING
ORD00000196,CUST004427,PROD00375,WH008,2025-04-08 02:58:41,7,134.4,940.8,DELIVERED,PAID
ORD00000197,CUST000066,PROD00156,WH010,2026-05-14 20:36:13,6,168.76,1012.56,SHIPPED,REFUNDED
ORD00000198,CUST001792,PROD00416,WH001,2026-07-30 17:22:44,4,2776.71,11106.84,DELIVERED,PAID
ORD00000199,CUST002605,PROD00112,WH004,2026-02-01 11:20:18,1,1006.9,1006.9,DELIVERED,REFUNDED
ORD00000200,CUST003680,PROD00071,WH007,2025-03-01 21:46:33,9,1600.21,14401.89,DELIVERED,REFUNDED
ORD00000201,CUST008989,PROD00375,WH007,2025-07-25 16:00:07,3,134.4,403.2,DELIVERED,PAID
ORD00000202,CUST009484,PROD00109,WH001,2026-03-23 13:30:06,2,507.76,1015.52,DELIVERED,REFUNDED
ORD00000203,CUST001306,PROD00243,WH003,2025-11-07 18:21:53,6,1543.15,9258.9,DELIVERED,PAID
ORD00000204,CUST008312,PROD00029,WH010,2026-01-30 09:10:52,1,862.04,862.04,PLACED,PAID
ORD00000205,CUST004608,PROD00461,WH009,2025-12-25 07:07:50,3,1798.13,5394.39,DELIVERED,PENDING
ORD00000206,CUST007786,PROD00304,WH006,2025-06-29 11:30:57,8,2139.01,17112.08,DELIVERED,PENDING
ORD00000207,CUST003147,PROD00380,WH008,2026-06-29 18:57:35,10,1074.94,10749.4,PLACED,PAID
ORD00000208,CUST005652,PROD00313,WH010,2026-07-22 09:44:11,5,950.84,4754.2,DELIVERED,PAID
ORD00000209,CUST006865,PROD00111,WH002,2025-05-09 12:46:04,10,2893.51,28935.1,DELIVERED,PAID
ORD00000210,CUST000223,PROD00467,WH002,2026-06-08 18:56:39,5,1450.23,7251.15,DELIVERED,PAID
ORD00000211,CUST002462,PROD00344,WH002,2025-01-24 15:26:19,6,2148.87,12893.22,PROCESSING,PENDING
ORD00000212,CUST007365,PROD00173,WH008,2025-12-08 00:31:19,5,2427.38,12136.9,PLACED,PAID
ORD00000213,CUST009681,PROD00424,WH009,2026-03-18 06:28:33,2,474.14,948.28,DELIVERED,PAID
ORD00000214,CUST006232,PROD00200,WH005,2025-05-29 09:15:41,8,2351.89,18815.12,DELIVERED,PAID
ORD00000215,CUST007657,PROD00108,WH007,2025-07-21 16:45:59,6,3219.92,19319.52,DELIVERED,PAID
ORD00000216,CUST004540,PROD00011,WH009,2026-02-06 20:59:34,8,3261.5,26092.0,SHIPPED,PAID
ORD00000217,CUST002775,PROD00312,WH004,2026-01-11 12:30:32,4,587.91,2351.64,DELIVERED,PENDING
ORD00000218,CUST000133,PROD00410,WH003,2025-08-29 18:57:08,5,1047.68,5238.4,PLACED,REFUNDED
ORD00000219,CUST004499,PROD00439,WH009,2025-01-03 09:19:46,7,2847.78,19934.46,DELIVERED,PAID
ORD00000220,CUST004101,PROD00395,WH005,2026-01-23 10:55:47,9,2430.4,21873.6,DELIVERED,PAID
ORD00000221,CUST003029,PROD00364,WH010,2025-04-07 06:23:04,1,3495.94,3495.94,DELIVERED,REFUNDED
ORD00000222,CUST003185,PROD00286,WH001,2026-04-29 17:18:17,8,539.85,4318.8,PROCESSING,PAID
ORD00000223,CUST007345,PROD00439,WH001,2025-03-04 03:51:40,5,2847.78,14238.9,PLACED,PAID
ORD00000224,CUST001607,PROD00420,WH002,2026-05-23 17:12:24,9,1640.35,14763.15,DELIVERED,PAID
ORD00000225,CUST001747,PROD00215,WH004,2026-03-26 18:29:06,4,1309.97,5239.88,PLACED,PENDING
ORD00000226,CUST007719,PROD00188,WH001,2026-04-03 09:53:37,5,85.36,426.8,PROCESSING,PAID
ORD00000227,CUST004384,PROD00311,WH009,2025-11-22 08:09:58,7,1537.48,10762.36,DELIVERED,REFUNDED
ORD00000228,CUST003081,PROD00228,WH008,2026-05-23 21:34:24,7,3175.84,22230.88,CANCELLED,PAID
ORD00000229,CUST006871,PROD00030,WH004,2025-01-15 11:34:18,8,1818.07,14544.56,PLACED,PAID
ORD00000230,CUST008618,PROD00016,WH007,2025-01-07 00:37:23,9,264.13,2377.17,DELIVERED,PENDING
ORD00000231,CUST001194,PROD00457,WH003,2025-09-21 07:00:34,9,1571.63,14144.67,DELIVERED,PAID
ORD00000232,CUST005813,PROD00315,WH009,2025-12-03 16:35:37,5,1636.8,8184.0,DELIVERED,REFUNDED
ORD00000233,CUST009749,PROD00239,WH010,2025-03-12 19:20:38,5,910.09,4550.45,DELIVERED,PAID
ORD00000234,CUST003101,PROD00096,WH007,2025-06-23 02:30:04,4,747.49,2989.96,PLACED,PAID
